user,total_staked,staked_count,total_withdrawn,withdrawn_count,total_mor_claimed,claim_count,mor_balance
0x029d6EF0a52c0fFE72BEe8f709AE7EF40760a43b,0.8567686103893735,1,0.0,0.0,0.0,0.0,0.0
0x02C4A7FB58817d995D2696CDfB20bDA4614C8a06,8.2,2,0.0,0.0,10.470884371162308,1.0,10.470884371162308
0x02C4D2EAe0652F16Ada65Cb85E5c820F6dBd0eBd,0.8422547751552847,1,0.8422547751552847,1.0,0.5305970401716827,1.0,0.0
0x02D3b0C2d2A41149be91Ac89e2fEd7B85CBd5c7E,0.5813829529230345,1,0.5813829529230345,1.0,0.0,0.0,0.0
0x02a5BfE4b39B7e40D5350DFBF18e1eBf1C0f23B4,0.18432485138855115,1,0.18432485138855115,1.0,0.9994652138588139,1.0,0.9994652138588139
0x02a7FC497B4eb09bA6A918693735Ab7F5ad1164B,0.95,1,0.95,1.0,0.7286378841024528,1.0,1.4517688976075853
0x02bc9D997E72D74269E73D8F7673fbd216cEA17c,0.15340932,1,0.15340932,1.0,0.780697669473383,1.0,0.780697669473383
0x02e51d6Ce16201A28Eaa7DE9C8C4BFeD25B4b081,1.92,1,1.92,1.0,0.0,0.0,0.0
0x02fFDe414DF6C81A84Bea208E89252Bed7F8Da94,0.03303087678287508,1,0.0,0.0,0.0,0.0,0.0
0x02fde6cf880B125102DDEE7cEb760a0e64F217fB,5.0,1,5.0,1.0,17.69294259115137,2.0,1.7402717122726707
0x0302CB360862aB7A5670D5E9958E8766fA50418F,6.0,1,6.0,1.0,9.297506812292344,1.0,0.0
0x030B15D5683F21B37f1B2D8ED0150c57E55190bd,0.11239676826016062,1,0.0,0.0,0.0,0.0,0.0
0x030B76cbd18FcD31c3c1071436B4CcA8e33E7f72,0.7,1,0.7,1.0,1.2109971391278458,1.0,1.2109971391278458
0x0336B4c5607F4480440506097Fe60b29F630445d,0.1491471544364372,1,0.1491471544364372,1.0,0.1492301609422745,1.0,0.0
0x0337cF8cE193364adae0b9a5d0FD61327259B3bb,1.0034,1,1.0034,1.0,0.30965048089598174,1.0,0.30965048089598174
0x0342c1d9aDaBB1cF023A1C0cF1faBee2d2d0785F,0.85,1,0.85,1.0,0.5848513030126298,1.0,0.5848513030126298
0x0347F0867b9B28a34fE6c044c4d48C2E5F71C528,45.02875450847907,3,45.02875450847907,2.0,51.949870113582264,4.0,0.0
0x035fe565B6056457e53392D1E18283Bc257F1Ff2,2.01,1,2.01,1.0,6.40636534196128,1.0,0.0
0x0365d3C3E4e7fD31FFeD13831FDffb781bB05206,2.0,1,0.0,0.0,8.947038911326924,2.0,0.0
0x03757f2b37e67481f33b24C12cfE60e773472869,24.650000050625746,3,24.65000005062575,3.0,22.073855941522172,1.0,0.0
0x038bD064115c7c4c74aa62DFBA28ce3bE3B0Fd08,0.0353,1,0.0353,1.0,0.0,0.0,0.0
0x03AA1134143A3C0163fa0f73d8108F5ac88253BE,1.1,1,0.0,0.0,0.0,0.0,0.0
0x03Aa52913CAECAC78583f05ff6BFe381fA4eafa1,2.0899732404714015,1,2.0899732404714015,1.0,0.0,0.0,0.0
0x03E45CF13EbdF916FfDdA2AA557c4EF8014244E4,5.0,2,5.0,1.0,12.513421564352075,1.0,125.0
0x03F5c290f4d5EE8B0dc05D7d9e056760fb7bD8cC,12.40007426159781,1,12.40007426159781,1.0,0.0,0.0,0.0
0x03aA1e85487a5c3C509Bc584AD9490A41D248011,2e-14,1,0.0,0.0,0.0,0.0,0.0
0x03c394E867eD24dFE6298eFe31bBb61935867434,0.30176,1,0.30176,1.0,0.7475850063366674,1.0,0.0
