address,mor_balance
0x4A13A55003EEaf84421ad16799bBbe68D851BbFe,52626682836086762
0x4b91475af6eC45997794b513349aADf7772De95a,68131906956029619
0x86F750ce3d797385FE6cf59741Cdd206ceac88C4,413291256641778972
0x53406645AF0Eec25D526180AA3cB412D55Da924e,253648080363111360
0x61e789DD14B73d0730db7EB2d67300577ae0dBA4,128528241758950364
0xcFD727653C3d5a1B943f675781d3245B884f1d34,172500704297745505854
0x91D8Fc23C92244794f9DaEDD21862b20753222F4,0
0xECB6a3E0E99700b32bb03BA14727d99FE8E538cf,0
0x705ba7D7d6d314b500c5FFDBb7c2322779d16198,0
0xe912caC1a6641004a8803687Ee7699227Fdb0550,0
0x08D999AADd896eC6f36D44e7072BcB1CC1B34186,6068987153703251650
0x1Be9F16e47404e0914C7A31790D12A370f233E2A,68748163691645038
0x2aBA9319615feE876264A8847B9988E59305d312,306512040052911884
0x3e6caCC6dcD5085C361123c255BE8CFe9AF76c74,0
0x41dBfEf9c3A8556B2F0B804E61594e592DfB6159,309626028854785719
0x22b2cCb53963Da600c83191db1cE3f61f92DCf45,0
0xe27458C8Bb3D9Bf298BC8FE47F0Cfab40bc45963,561234631974659255393
0xDFB5B33A8C82946c3746e603b11DFF1e4f958Af9,0
0x23C17b2FE71220DAa0a248B51dc0e66a3952193c,634230469120349518
0xb9CD1657d3dd5F08C293103C890B577D4D0485e5,730392092593801826
0x0acaf1050D0F164908C9ca82Bda8700801c44b9a,0
0xE0f1D01ceBCC262b014523C050467cCb4403e58B,0
0x997b96BAD648c39226281Bc002f9857274E42A01,0
0xb72203a3A3cCD35F8D56A0ae5B7722DC2Ab3e807,20287614130228425186
0x386dA3dFFF661e9924E50261c6953DB1e5f29107,39498291521708160369
0x5ad282F6F6FC6D9CD5d5e96018F294acC1b1e852,0
0x50415B9D886892Be314f5CbAF600C3a4B625CBE5,0
0x8d1F8Ae918550e62E6248CACf9d41A57A8f0439d,0
0xD9cfab54f1234AeEA22B2818AB919866A2809c1C,859876463538787237888
0xa4e2db22e06A305B9bf78A7ac577B99466177950,240789732993459245
0xd8312C1a95965006ce66E2299700BCA6442D9978,59040838613491323302
0xA63fa5c4e689517DbC5c6cbF6E4962A3809748Db,1160133150041552679
0xa8Da03E058ED65d9c8dAfd94fB33458261202e7b,1073713579444742101
0x1041D24a8F063825992dF7285BE796Bcc5Ad50Dc,0
0x4B016dBb173555a20bC5990EeE4E42d4A25A5750,20056813138684714456
0x71f3Cc04A9cE107a8A74Cc5EC05eAc886D848ef5,308673546055006928
